Nombre,Telefono,Email,Segmento,Canal Prioritario,Tag Fase,Tag Campana
ATE Seccional Alto Valle Este,+54 298 442-4202,,Gremio,WhatsApp,fase-1-presentacion,shawarman-catering
ATSA (Asoc. Trabajadores de Sanidad Argentina),+54 298 486-6018,,Gremio,Teléfono,fase-1-presentacion,shawarman-catering
Banco De La Nación Argentina,0810-666-4444,,Empresa grande,WhatsApp,fase-1-presentacion,shawarman-catering
Banco Galicia,+54 298 442-4533,,Empresa grande,WhatsApp,fase-1-presentacion,shawarman-catering
Banco Macro,+54 298 443-3163,,Empresa grande,WhatsApp,fase-1-presentacion,shawarman-catering
Banco Patagonia,+54 298 443-9500,,Empresa grande,WhatsApp,fase-1-presentacion,shawarman-catering
Banco Santander Río,+54 298 442-2285,,Empresa grande,WhatsApp,fase-1-presentacion,shawarman-catering
Banco de La Pampa,0810-222-2257,,Empresa grande,WhatsApp,fase-1-presentacion,shawarman-catering
CPIA (Colegio Prof. Ing. Agrónomos),,,Colegio profesional,WhatsApp,fase-1-presentacion,shawarman-catering
CPIA / CPIARN (Ing. Agrónomos),+54 298 443-0938,gerenciatecnica@cpiarn.org.ar,Colegio profesional,WhatsApp,fase-1-presentacion,shawarman-catering
Carrefour Hipermercado,0800-444-8484,,Empresa grande,WhatsApp,fase-1-presentacion,shawarman-catering
Centro Empleados de Comercio (CEC),+54 298 442-3954,fiscalizacioncecgroca@yahoo.com,Gremio,WhatsApp,fase-1-presentacion,shawarman-catering
ChangoMás,0800-888-9256,,Empresa grande,WhatsApp,fase-1-presentacion,shawarman-catering
Colegio De Escribanos De Gral. Roca,+54 298 442-5536,colnotro@notarialrionegro.com.ar,Colegio profesional,WhatsApp,fase-1-presentacion,shawarman-catering
Colegio De Escribanos De Gral. Roca,+54 298 442-5536,,Colegio profesional,Teléfono,fase-1-presentacion,shawarman-catering
Colegio Médico de General Roca,+54 298 442-4422,,Colegio profesional,WhatsApp,fase-1-presentacion,shawarman-catering
Colegio Médico de General Roca,+54 298 442-4422,,Colegio profesional,Teléfono,fase-1-presentacion,shawarman-catering
Colegio Psicólogos Alto Valle Este,+54 298 455-0872,,Colegio profesional,WhatsApp,fase-1-presentacion,shawarman-catering
Colegio de Abogadas y Abogados General Roca,+54 298 442-4029,,Colegio profesional,WhatsApp,fase-1-presentacion,shawarman-catering
Colegio de Arquitectos de Gral. Roca (CARN 2),+54 298 443-0908,,Colegio profesional,WhatsApp,fase-1-presentacion,shawarman-catering
Colegio de Farmacéuticos de Río Negro,+54 298 442-4112 / 442-3178,secretaria@colfarrn.org.ar,Colegio profesional,WhatsApp,fase-1-presentacion,shawarman-catering
Colegio de Martilleros y Corredores Roca,+54 298 422-5296,,Colegio profesional,WhatsApp,fase-1-presentacion,shawarman-catering
Consejo Prof. Ciencias Económicas (Contadores),,,Colegio profesional,WhatsApp,fase-1-presentacion,shawarman-catering
Círculo de Odontólogos de General Roca,+54 298 443-3555,,Colegio profesional,WhatsApp,fase-1-presentacion,shawarman-catering
ECA S.A. Empresa Constructora,+54 298 443-3404,,Empresa grande,WhatsApp,fase-1-presentacion,shawarman-catering
Expofrut Argentina SA,+54 9 298 424-0755,,Empresa grande,WhatsApp,fase-1-presentacion,shawarman-catering
KLEPPE S.A. (packing),+54 299 477-2834,,Empresa grande,WhatsApp,fase-1-presentacion,shawarman-catering
La Anónima (Av. Roca y EEUU),+54 298 442-4118,,Empresa grande,WhatsApp,fase-1-presentacion,shawarman-catering
La Anónima (Av. San Juan),+54 298 442-8354,,Empresa grande,WhatsApp,fase-1-presentacion,shawarman-catering
Maresba S.R.L. (packing),+54 298 488-6442,,Empresa grande,WhatsApp,fase-1-presentacion,shawarman-catering
Marolio Maxiconsumo,+54 298 442-9571,,Empresa grande,WhatsApp,fase-1-presentacion,shawarman-catering
Mocciola S.A. (constructora),+54 298 443-3297,,Empresa grande,WhatsApp,fase-1-presentacion,shawarman-catering
Moño Azul S.A. (mayorista fruta),+54 298 445-9000,,Empresa grande,WhatsApp,fase-1-presentacion,shawarman-catering
Patagonian Fruits Trade SA,+54 298 429-2600,,Empresa grande,WhatsApp,fase-1-presentacion,shawarman-catering
Petroleros Privados Delegación General Roca,+54 299 451-3944,,Gremio,WhatsApp,fase-1-presentacion,shawarman-catering
SMATA - AMOEM Río Negro Delegación Gral. Roca,+54 299 457-9486,,Gremio,Teléfono,fase-1-presentacion,shawarman-catering
Si.Tra.Jur.,,,Gremio,WhatsApp,fase-1-presentacion,shawarman-catering
UOCRA - Construir Salud - Cemap Gral Roca,+54 298 443-4229,,Gremio,WhatsApp,fase-1-presentacion,shawarman-catering
UPCN Delegación Gral. Roca,+54 298 469-3901,,Gremio,WhatsApp,fase-1-presentacion,shawarman-catering
UnTER Seccional Roca - Fiske Menuco,+54 298 443-6005,unteroca@gmail.com,Gremio,WhatsApp,fase-1-presentacion,shawarman-catering
UnTER Seccional Roca - Fiske Menuco,+54 298 443-6005,,Gremio,WhatsApp,fase-1-presentacion,shawarman-catering
UnTER Seccional Roca - Fiske Menuco,+54 298 443-6005,unteroca@gmail.com,Gremio,WhatsApp,fase-1-presentacion,shawarman-catering
Unión Obrera Metalúrgica,+54 298 442-3050,,Gremio,WhatsApp,fase-1-presentacion,shawarman-catering
Utedyc,,,Gremio,WhatsApp,fase-1-presentacion,shawarman-catering
Vea (Av. San Juan),+54 298 442-9214,,Empresa grande,WhatsApp,fase-1-presentacion,shawarman-catering
Vea (Ruta 22),0810-999-9832,,Empresa grande,WhatsApp,fase-1-presentacion,shawarman-catering
Yaguar (mayorista),+54 298 429-2900,,Empresa grande,WhatsApp,fase-1-presentacion,shawarman-catering
